fmc_loc;fmc_pin_name;fmc_io_standard;fpga_port_name;fpga_pin;comment
F1;;;;;
F2;;;;;
F3;;;;;
F4;;;;Y22;
F5;;;;AA22;
F6;;;;;
F7;;;;AF24;
F8;;;;AF25;
F9;;;;;
F10;;;;AB26;
F11;;;;AC26;
F12;;;;;
F13;;;;W25;
F14;;;;W26;
F15;;;;;
F16;;;;U24;
F17;;;;U25;
F18;;;;;
F19;;;;AB21;
F20;;;;AC21;
F21;;;;;
F22;;;;V18;
F23;;;;V19;
F24;;;;;
F25;;;;W18;
F26;;;;W19;
F27;;;;;
F28;;;;AD15;
F29;;;;AE15;
F30;;;;;
F31;;;;AC14;
F32;;;;AD14;
F33;;;;;
F34;;;;AF14;
F35;;;;AF15;
F36;;;;;
F37;;;;AF19;
F38;;;;AF20;
F39;;;;;
F40;;;;;
